,NO,RUAS,PANJANG,IRI_RATA,SDI_RATA,LEBAR_RATA,IRI_BAIK,IRI_SEDANG,IRI_RUSAK_RINGAN,IRI_RUSAK_BERAT,IRI_TOTAL,SDI_BAIK,SDI_SEDANG,SDI_RUSAK_RINGAN,SDI_RUSAK_BERAT,SDI_TOTAL,LESS_ENAM,ENAM_TUJUH,TUJUH_EMPAT_BELAS,GREATER_EMPAT_BELAS,PANJANG_TOTAL,BIAYA_IRI,BIAYA_SDI
58,026.,MARTAPURA - BATAS PROV. LAMPUNG,7.299999999999999,5.8356164383561655,67.19178082191782,7.000000000000003,1.6000000000000003,4.699999999999998,1.0,0.0,7.3,1.7000000000000004,3.1000000000000014,2.500000000000001,0.0,7.3000000000000025,0.0,7.29999999999999,0.0,0.0,7.29999999999999,4411000000.0,10480000000.000004
59,027.,SIMPANG INDRALAYA - BTS. KAB. PRA,14.599999999999998,5.36986301369863,44.0958904109589,7.000000000000003,6.299999999999994,5.4999999999999964,2.700000000000001,0.1,14.59999999999999,7.3999999999999915,4.699999999999998,2.400000000000001,0.1,14.599999999999987,0.0,14.599999999999964,0.0,0.0,14.599999999999964,12513200000.000004,11299400000.000004
60,028.,BTS. KAB. PRABUMULIH - BTS. KOTA,33.39999999999999,4.955089820359283,53.27844311377247,7.0000000000000036,12.899999999999974,17.799999999999983,2.600000000000001,0.1,33.39999999999996,11.799999999999974,15.799999999999962,5.799999999999995,0.0,33.39999999999993,0.0,33.400000000000205,0.0,0.0,33.400000000000205,13048600000.000002,25136799999.999973
61,028.11K,JLN. SUDIRMAN (PRABUMULIH),7.0669999999999975,5.363237583132875,39.8832602235744,7.000000000000006,2.2000000000000006,4.267000000000001,0.5,0.1,7.067000000000002,3.9000000000000017,2.0670000000000006,1.1,0.0,7.067000000000002,0.0,7.066999999999991,0.0,0.0,7.066999999999991,3235350000.0,4803949999.999999
62,029.,BTS. KOTA PRABUMULIH - SP. BELIMB,23.550000000000004,4.9256900212314205,49.15074309978768,6.999999999999997,9.349999999999984,12.899999999999974,1.3,0.0,23.549999999999947,8.599999999999985,12.049999999999974,2.9000000000000012,0.0,23.54999999999996,0.0,23.55000000000007,0.0,0.0,23.55000000000007,6437299999.999998,12910900000.000004
63,029.11K,JLN. SUDIRMAN (PRABUMULIH),7.379999999999999,5.897018970189703,71.63956639566396,7.000000000000003,0.8999999999999999,5.5799999999999965,0.8999999999999999,0.0,7.379999999999997,1.2,3.7800000000000016,2.400000000000001,0.0,7.380000000000003,0.0,7.37999999999999,0.0,0.0,7.37999999999999,4010400000.0,10079400000.000004
64,030.,SP. BELIMBING - BTS. KOTA MUARA E,43.1,4.399071925754061,48.317865429234345,7.000000000000003,21.10000000000003,20.40000000000002,1.5000000000000002,0.1,43.10000000000005,18.19999999999999,18.5,6.399999999999992,0.0,43.09999999999997,0.0,43.10000000000034,0.0,0.0,43.10000000000034,9083000000.000004,28049399999.999973
65,030.11K,JLN. SUDIRMAN (MUARA ENIM),2.5000000000000004,6.1599999999999975,74.52,13.999999999999998,0.30000000000000004,2.0000000000000004,0.2,0.0,2.500000000000001,0.30000000000000004,1.5000000000000002,0.7,0.0,2.5,0.0,0.0,2.500000000000001,0.0,2.500000000000001,934200000.0,2957200000.0
66,030.12K,JLN. SULTAN MAHMUD BADARUDIN II (,2.6000000000000005,8.269230769230768,94.76923076923076,9.361538428526657,0.0,1.6000000000000003,1.0,0.0,2.6,0.2,0.7,1.6000000000000003,0.1,2.6,0.0,0.2,2.400000000000001,0.0,2.600000000000001,4176000000.0,7462600000.000002
67,031.11K,JLN. GARUDA (LB. LINGGAU)  (LB. L,6.599999999999999,5.333333333333335,32.4848484848485,7.000000000000003,1.0,5.599999999999996,0.0,0.0,6.599999999999996,3.4000000000000017,3.0000000000000013,0.2,0.0,6.600000000000002,0.0,6.5999999999999925,0.0,0.0,6.5999999999999925,329999999.9999998,1139200000.0
